,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
249,Pakistan,Southern Asia,49.05057341605565,36.784938121163854,15.897201946472023,35.325153374233125,2016
250,Lebanon,Middle East and Northern Africa,48.99417183681143,60.01179134193825,39.04136253041363,66.75810692375109,2016
251,Portugal,Western Europe,48.881368678323,68.21110786484765,57.40085158150852,69.55565293602103,2016
252,Macedonia,Central and Eastern Europe,48.84376762549353,54.48571179217379,47.58880778588808,56.73794916739702,2016
253,Vietnam,Southeastern Asia,47.715736040609144,39.575774001345735,48.124695863746965,57.98159509202454,2016
254,Somaliland Region,Sub-Saharan Africa,47.64053393495019,13.661785754776586,46.14476885644769,29.016652059596844,2016
255,Tunisia,Middle East and Northern Africa,47.414927617973305,52.237434505821554,26.256082725060825,52.214723926380366,2016
256,Greece,Western Europe,47.18932130099644,66.75662320099495,45.90815085158152,70.13935144609991,2016
257,Tajikistan,Central and Eastern Europe,46.49370182365107,26.104284659774425,45.98661800486619,46.55477651183173,2016
258,Mongolia,Eastern Asia,44.82045497273924,52.84093071511582,66.29136253041364,48.61437335670465,2016
259,Laos,Southeastern Asia,44.23763865388232,36.37120378458833,33.4367396593674,33.559158632778264,2016
260,Nigeria,Sub-Saharan Africa,44.21883812746758,40.20599723496658,39.23236009732361,4.476774758983348,2016
